card_name,cards_unit,price,original_price,href_url,img_url
奥迪A5 2021款 Sportback 40 TFSI 时尚致雅型,2万公里／2021-02／武汉／1年会员,19.98万,40.36万,/dealer/558130/49467888.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奥迪S6 2020款 S6 2.9T,3.5万公里／2021-11／杭州／12年钻石会员,53.80万,100.93万,/dealer/85092/49406324.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宋PLUS新能源 2021款 DM-i 110KM 旗舰型,1.3万公里／2022-12／武汉／5年会员,9.08万,18.21万,/dealer/382532/49668762.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
楼兰 2019款 2.5 S/C HEV XL 四驱混动智联尊贵版 国V,4.96万公里／2020-09／郑州／11年黑金会员,14.99万,36.50万,/dealer/114219/49723250.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2020款 2.0T XL Upper AD1 智享领航版,3.05万公里／2020-03／郑州／11年黑金会员,11.99万,24.94万,/dealer/114219/49699712.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宝马3系 2018款 330Li M运动曜夜版,6万公里／2018-04／东莞／1年会员,17.50万,46.65万,/dealer/559031/49721492.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
Model Y 2022款 长续航全轮驱动版,1.6万公里／2022-10／北京／1年黄金会员,23.98万,42.87万,/dealer/544993/49444083.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奥迪A7 2018款 50 TFSI quattro 动感型,5万公里／2019-02／武汉／1年会员,31.98万,90.64万,/dealer/558130/49521629.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0L XL 舒适版,2.6万公里／2021-06／昆明／1年黄金会员,10.58万,20.39万,/dealer/544056/49480656.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2022款 2.0T XV 尊享版,1.5万公里／2022-01／南宁／1年黄金会员,13.88万,26.03万,/dealer/553610/49162342.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
阿维塔11 2022款 长续航双电机版 4座,1.45万公里／2023-05／上海／7年钻石会员,25.98万,42.32万,/dealer/308438/49721140.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宝马7系 2018款 740Li 领先型 M运动套装,9万公里／2017-11／广州／4年黄金会员,39.20万,111.59万,/dealer/434454/49746485.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
捷豹XFL 2021款 XFL 2.0T P200 两驱精英豪华版,2.2万公里／2021-08／武汉／1年会员,17.98万,43.40万,/dealer/558130/49471278.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
楼兰 2016款 2.5 S/C HEV XL 四驱混动尊贵版,6.1万公里／2016-05／天津／2年钻石会员,11.80万,36.23万,/dealer/506469/49681261.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2022款 2.0T XL 进享版,1.9万公里／2022-03／宁波／1年会员,12.58万,23.53万,/dealer/557453/49715213.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
长安UNI-V 2023款 2.0T 锋速版,1万公里／2022-12／武汉／1年会员,7.20万,14.10万,/dealer/557031/49542763.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奔驰C级AMG 2019款 AMG C 63 S 轿跑车,0.9万公里／2022-06／北京／9年黄金会员,69.80万,126.00万,/dealer/241156/49250229.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
菲斯塔 2019款 280TGDi 运动版 国VI,3.9万公里／2019-05／武汉／2年会员,4.80万,14.52万,/dealer/513578/49479995.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0L XL 舒适版,2.4万公里／2021-02／武汉／1年会员,7.90万,20.39万,/dealer/556339/49728588.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
日产350Z 2004款 3.5 AT,8万公里／2006-03／上海／4年黄金会员,18.60万,62.96万,/dealer/406844/47870957.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
腾势D9 2022款 DM-i 945 豪华型,0.8万公里／2023-01／广州／3年黄金会员,28.28万,36.45万,/dealer/467967/49714129.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
影豹 2021款 270T DCT J10飞人版,2万公里／2022-01／南京／1年会员,4.50万,10.67万,/dealer/556185/49734902.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
蒙迪欧 2022款 改款 EcoBoost 245 豪华型,1.7万公里／2022-08／广州／3年黄金会员,13.58万,19.52万,/dealer/488375/49725759.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0T XL Upper AD1 智享领航版,2万公里／2022-02／成都／1年会员,11.60万,24.94万,/dealer/551057/49677223.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
碧莲 2011款 4.5L-尊贵VIP,6.7万公里／2011-12／潍坊／1年黑金会员,22.80万,137.64万,/dealer/556865/49374975.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
红旗H5 2023款 2.0T 自动智联旗领版,0.3万公里／2022-12／成都／1年会员,14.80万,23.42万,/dealer/551063/49689709.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
玛莎拉蒂MC20 2020款 3.0T 标准版,0.6万公里／2022-09／武汉／8年钻石会员,192.80万,229.18万,/dealer/288908/49713365.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
MG5 2021款 180DVVT CVT青春风尚版,3万公里／2022-10／南京／1年会员,3.00万,8.46万,/dealer/556185/49742275.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途达 2018款 2.5L 自动四驱旗舰版,2万公里／2019-03／武汉／1年会员,12.38万,26.68万,/dealer/533093/49691413.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2022款 2.0T XL 进享版,0.13万公里／2022-10／深圳／1年会员,13.98万,23.53万,/dealer/542106/49582358.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
阿斯顿・马丁DBS 2019款 DBS Superleggera V12 Coupe,1.6万公里／2020-01／深圳／2年会员,278.80万,398.15万,/dealer/505476/48633612.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
旭豹 2024款 2.5i AWD旗舰版EyeSight,0.9万公里／2023-08／杭州／10年黄金会员,18.80万,25.05万,/dealer/182846/49725190.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
雷克萨斯GS 2012款 450h,8.3万公里／2012-08／深圳／3年会员,35.80万,105.83万,/dealer/465201/49740195.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途达 2020款 2.5L XL Upper 4WD 自动四驱豪华版,6万公里／2020-09／重庆／8年黄金会员,13.88万,24.78万,/dealer/263184/49687198.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0L XL 舒适版,0.8万公里／2022-10／金华／3年黄金会员,10.98万,20.39万,/dealer/472492/49401057.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
长安UNI-T 2022款 1.5T 卓越型,3万公里／2021-02／南京／1年会员,4.50万,12.58万,/dealer/556185/49465301.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
名爵ZS 2020款 180DVVT 自动Lite,4万公里／2019-12／南京／1年会员,3.30万,10.40万,/dealer/557219/49704592.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
飞凡ER6 2021款 新动版 620km 智行版,1.46万公里／2022-02／上海／1年黄金会员,6.48万,18.65万,/dealer/540994/49741758.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
轩逸・纯电 2018款 智领版,7.3万公里／2018-12／广州／1年黄金会员,4.18万,26.38万,/dealer/526605/49329217.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途乐 2024款 4.0L 中东版,0.01万公里／未上牌／广州／4年黄金会员,56.80万,,/dealer/418007/49454561.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
雪铁龙C6 2017款 改款 380THP 豪华型,5.3万公里／2018-04／武汉／1年会员,4.88万,23.76万,/dealer/556257/49643893.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
长安UNI-V 2022款 1.5T 卓越型,2万公里／2022-10／南京／1年会员,5.00万,11.82万,/dealer/560915/49692784.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
MG7 2023款 1.5T DCT至美豪华版,0.3万公里／2023-04／成都／2年会员,8.38万,13.66万,/dealer/520849/49710087.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途乐 2020款 4.0L 自动,3.9万公里／2020-07／温州／11年黄金会员,39.00万,,/dealer/101567/49511726.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
骐达TIIDA 2020款 1.6L CVT智享版,3万公里／2020-04／武汉／1年会员,5.88万,13.67万,/dealer/561900/49722903.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
捷途大圣 2022款 1.6T DCT王者,0.68万公里／2022-11／宁波／1年会员,4.30万,10.84万,/dealer/552733/49450692.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
捷豹XJ 2018款 XJL 3.0 SC 四驱全景商务版,5.9万公里／2018-05／北京／9年黄金会员,36.99万,103.99万,/dealer/192824/48960839.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M0A/A1/77/440x330_q87_c42_autohomecar__CjIFU2UCnUiABmuvAAdDwDn-Im4714.jpg
奥迪RS 7 2021款 RS 7 4.0T Sportback,0.35万公里／2023-11／北京／6年会员,139.90万,157.26万,/dealer/341128/49444886.html?pvareaid=100519&userpid=0&usercid=0&offertype=750&offertag=0&activitycartype=11&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g26/M08/9F/A9/440x330_q87_c42_autohomecar__ChxkjmVVgWqAQBJQAAHbtlxonYc130.jpg
力狮 2020款 改款 2.5i 荣耀限量版 EyeSight,3万公里／2020-11／东莞／7年会员,15.38万,26.90万,/dealer/303409/49642984.html?pvareaid=100519&userpid=0&usercid=0&offertype=750&offertag=0&activitycartype=11&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M03/F3/E1/440x330_q87_c42_autohomecar__ChxknGV0ZiaAAWxkAAnsYHtjX2s865.jpg
楼兰 2021款 2.5 S/C HEV XE 四驱混动智联尊尚版,5万公里／2021-08／重庆／11年黑金会员,抢购价15.20万,已降6000元,/dealer/106470/49626231.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M01/7A/35/440x330_q87_c42_autohomecar__CjIFU2Vxxp2AfZpfAAjFx1AZugI115.jpg
途达 2020款 2.5L XL Upper 4WD 自动四驱豪华版,4.3万公里／2020-08／郑州／11年钻石会员,13.90万,24.78万,/dealer/118132/49733020.html?pvareaid=108867&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M0A/97/37/440x330_q87_c42_autohomecar__ChxknGWD-cSAVxS7AAMUZVeDQ_w741.jpg
赛那SIENNA 2021款 2.5L混动 舒适版,2.8万公里／2022-04／武汉／13年钻石会员,27.50万,33.63万,/dealer/70956/49670873.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g30/M05/AA/63/440x330_q87_c42_autohomecar__CjIFU2V5VkmAHaCJAAdNJYiKM2E770.jpg
智己L7 2022款 Pro,1.8万公里／2022-06／佛山／4年黄金会员,22.68万,44.37万,/dealer/420287/48818691.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//2sc2.autoimg.cn/escimg/g25/M0A/1F/73/440x330_q87_c42_autohomecar__ChxkqWTrE3uAVLhwAAYr0aQs23c926.jpg
奥迪RS 5 2021款 RS 5 2.9T Sportback 暗金版,2万公里／2021-01／北京／9年黄金会员,58.00万,90.83万,/dealer/241156/49547317.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
ARIYA艾睿雅 2022款 两驱长续航顶配版,1.3万公里／2022-11／广州／10年黄金会员,15.38万,32.33万,/dealer/134052/49668859.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
途乐 2023款 ARMADA 5.6L 无敌舰队旗舰版,1万公里／2022-09／南京／8年黄金会员,69.88万,90.96万,/dealer/259919/49608632.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奥迪A5 2021款 Sportback 40 TFSI 时尚致雅型,2万公里／2021-02／武汉／1年会员,19.98万,40.36万,/dealer/558130/49467888.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奥迪S6 2020款 S6 2.9T,3.5万公里／2021-11／杭州／12年钻石会员,53.80万,100.93万,/dealer/85092/49406324.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宋PLUS新能源 2021款 DM-i 110KM 旗舰型,1.3万公里／2022-12／武汉／5年会员,9.08万,18.21万,/dealer/382532/49668762.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
楼兰 2019款 2.5 S/C HEV XL 四驱混动智联尊贵版 国V,4.96万公里／2020-09／郑州／11年黑金会员,14.99万,36.50万,/dealer/114219/49723250.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2020款 2.0T XL Upper AD1 智享领航版,3.05万公里／2020-03／郑州／11年黑金会员,11.99万,24.94万,/dealer/114219/49699712.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宝马3系 2018款 330Li M运动曜夜版,6万公里／2018-04／东莞／1年会员,17.50万,46.65万,/dealer/559031/49721492.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
Model Y 2022款 长续航全轮驱动版,1.6万公里／2022-10／北京／1年黄金会员,23.98万,42.87万,/dealer/544993/49444083.html?pvareaid=110520&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奥迪A7 2018款 50 TFSI quattro 动感型,5万公里／2019-02／武汉／1年会员,31.98万,90.64万,/dealer/558130/49521629.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0L XL 舒适版,2.6万公里／2021-06／昆明／1年黄金会员,10.58万,20.39万,/dealer/544056/49480656.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2022款 2.0T XV 尊享版,1.5万公里／2022-01／南宁／1年黄金会员,13.88万,26.03万,/dealer/553610/49162342.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
阿维塔11 2022款 长续航双电机版 4座,1.45万公里／2023-05／上海／7年钻石会员,25.98万,42.32万,/dealer/308438/49721140.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
宝马7系 2018款 740Li 领先型 M运动套装,9万公里／2017-11／广州／4年黄金会员,39.20万,111.59万,/dealer/434454/49746485.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
捷豹XFL 2021款 XFL 2.0T P200 两驱精英豪华版,2.2万公里／2021-08／武汉／1年会员,17.98万,43.40万,/dealer/558130/49471278.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
楼兰 2016款 2.5 S/C HEV XL 四驱混动尊贵版,6.1万公里／2016-05／天津／2年钻石会员,11.80万,36.23万,/dealer/506469/49681261.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2022款 2.0T XL 进享版,1.9万公里／2022-03／宁波／1年会员,12.58万,23.53万,/dealer/557453/49715213.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
长安UNI-V 2023款 2.0T 锋速版,1万公里／2022-12／武汉／1年会员,7.20万,14.10万,/dealer/557031/49542763.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
奔驰C级AMG 2019款 AMG C 63 S 轿跑车,0.9万公里／2022-06／北京／9年黄金会员,69.80万,126.00万,/dealer/241156/49250229.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
菲斯塔 2019款 280TGDi 运动版 国VI,3.9万公里／2019-05／武汉／2年会员,4.80万,14.52万,/dealer/513578/49479995.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
天籁 2021款 2.0L XL 舒适版,2.4万公里／2021-02／武汉／1年会员,7.90万,20.39万,/dealer/556339/49728588.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
日产350Z 2004款 3.5 AT,8万公里／2006-03／上海／4年黄金会员,18.60万,62.96万,/dealer/406844/47870957.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
腾势D9 2022款 DM-i 945 豪华型,0.8万公里／2023-01／广州／3年黄金会员,28.28万,36.45万,/dealer/467967/49714129.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
影豹 2021款 270T DCT J10飞人版,2万公里／2022-01／南京／1年会员,4.50万,10.67万,/dealer/556185/49734902.html?pvareaid=100519&userpid=0&usercid=0&offertype=&offertag=0&activitycartype=0&fromsxmlist=0,//x.autoimg.cn/2scimg/m/20221226/default-220x165.png
